Timestamp,Source IP,Destination IP,Hostname,Protocol,Port
2025-10-21 13:00:59,156.143.60.181,17.253.7.65,usatl4-edge-get-001.a.aaplimg.com,UDP,443
2025-10-21 13:00:59,17.253.7.65,156.143.60.181,Unknown,UDP,53826
2025-10-21 13:00:59,17.253.7.65,156.143.60.181,Unknown,UDP,53826
2025-10-21 13:00:59,17.253.7.65,156.143.60.181,Unknown,UDP,53826
2025-10-21 13:00:59,17.253.7.65,156.143.60.181,Unknown,UDP,53826
2025-10-21 13:00:59,17.253.7.65,156.143.60.181,Unknown,UDP,53826
2025-10-21 13:00:59,17.253.7.65,156.143.60.181,Unknown,UDP,53826
2025-10-21 13:00:59,17.253.7.65,156.143.60.181,Unknown,UDP,53826
2025-10-21 13:00:59,17.253.7.65,156.143.60.181,Unknown,UDP,53826
2025-10-21 13:00:59,17.253.7.65,156.143.60.181,Unknown,UDP,53826
2025-10-21 13:00:59,17.253.7.65,156.143.60.181,Unknown,UDP,53826
2025-10-21 13:00:59,156.143.60.181,17.253.7.65,usatl4-edge-get-001.a.aaplimg.com,UDP,443
2025-10-21 13:00:59,17.253.7.65,156.143.60.181,Unknown,UDP,53826
2025-10-21 13:00:59,17.253.7.65,156.143.60.181,Unknown,UDP,53826
2025-10-21 13:00:59,0.0.0.0,255.255.255.255,broadcasthost,UDP,67
2025-10-21 13:00:59,0.0.0.0,255.255.255.255,broadcasthost,UDP,67
2025-10-21 13:00:59,17.253.7.65,156.143.60.181,Unknown,UDP,53826
2025-10-21 13:00:59,17.253.7.65,156.143.60.181,Unknown,UDP,53826
2025-10-21 13:00:59,0.0.0.0,255.255.255.255,broadcasthost,UDP,67
2025-10-21 13:00:59,156.143.60.181,10.1.16.2,Unknown,TCP,80
2025-10-21 13:00:59,140.82.113.25,156.143.60.181,Unknown,TCP,50588
2025-10-21 13:00:59,156.143.60.181,140.82.113.25,lb-140-82-113-25-iad.github.com,TCP,443
2025-10-21 13:00:59,156.143.60.181,140.82.113.25,lb-140-82-113-25-iad.github.com,TCP,443
2025-10-21 13:00:59,156.143.60.181,140.82.113.25,lb-140-82-113-25-iad.github.com,TCP,443
2025-10-21 13:00:59,156.143.60.181,140.82.113.25,lb-140-82-113-25-iad.github.com,TCP,443
2025-10-21 13:00:59,156.143.60.181,10.102.8.98,shrek19.fu.campus,UDP,53
2025-10-21 13:00:59,140.82.113.25,156.143.60.181,Unknown,TCP,50588
2025-10-21 13:00:59,10.102.8.98,156.143.60.181,Unknown,UDP,55590
2025-10-21 13:00:59,17.253.7.65,156.143.60.181,Unknown,UDP,53826
2025-10-21 13:00:59,17.253.7.65,156.143.60.181,Unknown,UDP,53826
